order_id,tanggal_transaksi,nama_produk,kategori,harga_satuan,jumlah_beli,kota_pembeli,status_pembayaran,total_harga
ORD-1024,2026-03-11,Monitor 24 Inch 144Hz,Elektronik,1750000,2,Bandung,PAID,3500000
ORD-1036,2026-03-19,Botol Minum Tumbler,Perlengkapan,85000,1,Samarinda,PAID,85000
ORD-1004,2026-03-12,Monitor 24 Inch 144Hz,Elektronik,1750000,1,Medan,PAID,1750000
ORD-1026,2026-03-05,Mouse Gaming Wireless,Elektronik,250000,5,Surabaya,PAID,1250000
ORD-1047,2026-03-18,Mousepad XL Gaming,Perlengkapan,95000,1,Jakarta,PAID,95000
ORD-1046,2026-03-18,TWS Bluetooth Earphone,Elektronik,199000,2,Bandung,PAID,398000
ORD-1039,2026-03-14,Mechanical Keyboard RGB,Elektronik,450000,1,Medan,PAID,450000
ORD-1003,2026-03-07,Celana Chino Slim,Fashion,145000,3,Surabaya,PAID,435000
ORD-1038,2026-03-14,Lampu Meja Belajar,Perlengkapan,120000,1,Medan,PAID,120000
ORD-1005,2026-03-16,Celana Chino Slim,Fashion,145000,1,Medan,PAID,145000
ORD-1035,2026-03-02,Mousepad XL Gaming,Perlengkapan,95000,5,Yogyakarta,PAID,475000
ORD-1023,2026-03-20,Celana Chino Slim,Fashion,145000,4,Jakarta,PAID,580000
ORD-1021,2026-03-05,Celana Chino Slim,Fashion,145000,2,Jakarta,PAID,290000
ORD-1045,2026-03-14,Mechanical Keyboard RGB,Elektronik,450000,3,Makassar,PAID,1350000
ORD-1044,2026-03-14,Mouse Gaming Wireless,Elektronik,250000,2,Surabaya,PAID,500000
ORD-1018,2026-03-05,Kaos Polos Cotton 30s,Fashion,65000,4,Jakarta,PAID,260000
ORD-1028,2026-03-10,Mouse Gaming Wireless,Elektronik,250000,2,Samarinda,PAID,500000
ORD-1010,2026-03-20,Mousepad XL Gaming,Perlengkapan,95000,1,Jakarta,PAID,95000
ORD-1034,2026-03-10,Celana Chino Slim,Fashion,145000,1,Medan,PAID,145000
ORD-1009,2026-03-19,Botol Minum Tumbler,Perlengkapan,85000,4,Makassar,PAID,340000
ORD-1040,2026-03-10,Mouse Gaming Wireless,Elektronik,250000,2,Makassar,PAID,500000
ORD-1008,2026-03-13,Mousepad XL Gaming,Perlengkapan,95000,4,Bandung,PAID,380000
ORD-1015,2026-03-18,Kaos Polos Cotton 30s,Fashion,65000,3,Samarinda,PAID,195000
ORD-1016,2026-03-15,TWS Bluetooth Earphone,Elektronik,199000,4,Jakarta,PAID,796000
ORD-1007,2026-03-17,Mechanical Keyboard RGB,Elektronik,450000,1,Yogyakarta,PAID,450000
ORD-1027,2026-03-16,Lampu Meja Belajar,Perlengkapan,120000,2,Yogyakarta,PAID,240000
ORD-1020,2026-03-12,Lampu Meja Belajar,Perlengkapan,120000,1,Medan,PAID,120000
ORD-1025,2026-03-03,Hoodie Oversize,Fashion,180000,5,Surabaya,PAID,900000
ORD-1037,2026-03-09,Kaos Polos Cotton 30s,Fashion,65000,5,Medan,PAID,325000
ORD-1043,2026-03-11,Lampu Meja Belajar,Perlengkapan,120000,4,Medan,PAID,480000
ORD-1013,2026-03-18,Mechanical Keyboard RGB,Elektronik,450000,3,Makassar,PAID,1350000
ORD-1019,2026-03-06,Hoodie Oversize,Fashion,180000,1,Makassar,PAID,180000
ORD-1031,2026-03-05,Lampu Meja Belajar,Perlengkapan,120000,4,Samarinda,PAID,480000
ORD-1011,2026-03-03,Mouse Gaming Wireless,Elektronik,250000,5,Yogyakarta,PAID,1250000
